"Username","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","word","lemma","POS"
"zf42q81@########.edu","Version 21","frog","BOI","eat","eat","eat","VERB"
"zf42q81@########.edu","Version 21","frog","BOI","pet","pet","pet","NOUN"
"zf42q81@########.edu","Version 21","frog","BOI","jump","jump","jump","VERB"
"zf42q81@########.edu","Version 21","frog","BOI","swim","swim","swim","NOUN"
"zf42q81@########.edu","Version 21","placenta","BOI","nourish","nourish","nourish","INTJ"
"zf42q81@########.edu","Version 21","placenta","BOI","eat","eat","eat","VERB"
"zf42q81@########.edu","Version 21","placenta","BOI","safety","safety","safety","NOUN"
"zf42q81@########.edu","Version 21","guesthouse","BOI","sleep","sleep","sleep","NOUN"
"zf42q81@########.edu","Version 21","guesthouse","BOI","lay","lay","lay","VERB"
"zf42q81@########.edu","Version 21","guesthouse","BOI","eat","eat","eat","VERB"
"zf42q81@########.edu","Version 21","guesthouse","BOI","rest","rest","rest","VERB"
"zf42q81@########.edu","Version 21","ammo","BOI","shoot","shoot","shoot","NOUN"
"zf42q81@########.edu","Version 21","ammo","BOI","reload","reload","reload","NOUN"
"zf42q81@########.edu","Version 21","ammo","BOI","aim","aim","aim","NOUN"
"zf42q81@########.edu","Version 21","washroom","BOI","wash","wash","wash","INTJ"
"zf42q81@########.edu","Version 21","washroom","BOI","shower","shower","shower","NOUN"
"zf42q81@########.edu","Version 21","washroom","BOI","clean ","clean","clean","ADJ"
"zf42q81@########.edu","Version 21","snowshoe","BOI","walk","walk","walk","VERB"
"zf42q81@########.edu","Version 21","snowshoe","BOI","step","step","step","NOUN"
"zf42q81@########.edu","Version 21","snowshoe","BOI","wear","wear","wear","VERB"
"zf42q81@########.edu","Version 21","checkerboard","BOI","checkers","checkers","checker","NOUN"
"zf42q81@########.edu","Version 21","checkerboard","BOI","play","play","play","VERB"
"zf42q81@########.edu","Version 21","organ","BOI","play","play","play","VERB"
"zf42q81@########.edu","Version 21","organ","BOI","music","music","music","NOUN"
"zf42q81@########.edu","Version 21","organ","BOI","health","health","health","NOUN"
"zf42q81@########.edu","Version 21","bugle","BOI","eat","eat","eat","VERB"
"zf42q81@########.edu","Version 21","bugle","BOI","pet","pet","pet","NOUN"
"zf42q81@########.edu","Version 21","spinach","BOI","eat","eat","eat","VERB"
"zf42q81@########.edu","Version 21","spinach","BOI","farm","farm","farm","NOUN"
"zf42q81@########.edu","Version 21","spinach","BOI","plant","plant","plant","NOUN"
"zf42q81@########.edu","Version 21","cutlery","BOI","cut","cut","cut","VERB"
"zf42q81@########.edu","Version 21","cutlery","BOI","use","use","use","VERB"
"zf42q81@########.edu","Version 21","toiletry","BOI","wash","wash","wash","INTJ"
"zf42q81@########.edu","Version 21","toiletry","BOI","clean","clean","clean","ADJ"
"zf42q81@########.edu","Version 21","steroids","BOI","consume","consume","consume","NOUN"
"zf42q81@########.edu","Version 21","steroids","BOI","inject","inject","inject","NOUN"
"zf42q81@########.edu","Version 21","bell","BOI","ring","ring","ring","NOUN"
"zf42q81@########.edu","Version 21","bell","BOI","ding","ding","d","NOUN"
"zf42q81@########.edu","Version 21","bell","BOI","music","music","music","NOUN"
"zf42q81@########.edu","Version 21","sunflower","BOI","plant","plant","plant","NOUN"
"zf42q81@########.edu","Version 21","sunflower","BOI","grow","grow","grow","VERB"
"zf42q81@########.edu","Version 21","sunflower","BOI","consume","consume","consume","NOUN"
"zf42q81@########.edu","Version 21","sunflower","BOI","dye","dye","dye","INTJ"
"zf42q81@########.edu","Version 21","cadillac","BOI","drive","drive","drive","VERB"
"zf42q81@########.edu","Version 21","cadillac","BOI","ride","ride","ride","NOUN"
"zf42q81@########.edu","Version 21","cadillac","BOI","race","race","race","NOUN"
"zf42q81@########.edu","Version 21","muffler","BOI","noise","noise","noise","NOUN"
